,Episode,Timestep,Policy_Loss,Critic_Loss,RM_Score,Ref_KL
0,0,8,-0.054075101288799485,0.17106066942214965,-6.018198013305664,0.0
1,0,16,-0.10926432259766443,0.18951810598373414,-5.681827068328857,-0.007925515994429588
2,0,24,-0.10678954726457732,0.22403217256069183,-5.4493489265441895,-0.018662819638848305
3,0,32,-0.09519747807607928,0.15968508124351502,-5.7682576179504395,-0.022838125005364418
4,1,40,-0.09570931607377134,0.18712054193019867,-5.959108829498291,-0.040777310729026794
5,1,48,-0.0878095293050137,0.16723344027996062,-6.400435447692871,-0.047865130007267
6,1,56,-0.09148253034072695,0.18497315645217896,-6.199366092681885,-0.06462212651968002
7,1,64,-0.08850696416193386,0.12815016210079194,-6.099070072174072,-0.06661476939916611
8,2,72,-0.09385466639178049,0.26841884255409243,-6.04616641998291,-0.1241350919008255
9,2,80,-0.07781501319332165,0.2714661777019501,-6.319844722747803,-0.11699460446834564
10,2,88,-0.08483389794273535,0.3172560453414917,-6.1102142333984375,-0.1319488286972046
11,2,96,-0.08515765495467349,0.2873281717300415,-6.530282020568848,-0.1676959991455078
12,3,104,-0.07666168270297931,0.2971786320209503,-6.184053421020508,-0.1751648336648941
13,3,112,-0.07264286526233263,0.5629939794540405,-5.989969730377197,-0.22196057438850403
14,3,120,-0.09229847374153906,0.5018969655036927,-5.452537536621094,-0.185654416680336
15,3,128,-0.0709223768541051,0.5321472883224487,-4.966157913208008,-0.17820146679878235
16,4,136,-0.030948193550193535,0.25278982520103455,-5.170069694519043,-0.11527474224567413
17,4,144,-0.04269782234932791,0.20085126757621766,-4.894052982330322,-0.10082835704088211
18,4,152,-0.038092513707306354,0.19824830889701844,-5.186079025268555,-0.09711283445358276
19,4,160,-0.027887079535776137,0.05963011831045151,-4.548449516296387,-0.07018685340881348
20,5,168,-0.01142409946769476,0.03149864263832569,-3.8254506587982178,-0.06279923766851425
21,5,176,-0.013400015719162184,0.02041708119213581,-4.541611194610596,-0.061001136898994446
22,5,184,-0.023092911724961595,0.028446504101157188,-3.907031774520874,-0.05925953760743141
23,5,192,-0.013724580418829646,0.023501772060990335,-4.74470853805542,-0.04768306016921997
24,6,200,-0.01639924452138075,0.03801623657345772,-4.693236827850342,-0.069813072681427
25,6,208,-0.014213734672375722,0.027600168809294702,-5.033055305480957,-0.0513634979724884
26,6,216,-0.02341077243690961,0.030460046976804732,-4.604170322418213,-0.05936906114220619
27,6,224,-0.019085734589862114,0.0337984524667263,-4.0787034034729,-0.06836547702550888
28,7,232,-0.01222701916412916,0.05564765185117722,-4.543867111206055,-0.07005994766950607
29,7,240,-0.012902224678271068,0.029132931679487228,-4.441647052764893,-0.07722052186727524
30,7,248,-0.010521898612933001,0.028158541396260263,-4.4703049659729,-0.06289919465780258
31,7,256,-0.005801443069174184,0.037785804271698,-4.378531455993652,-0.05675937235355377
32,8,264,-0.005402642090757581,0.02160235494375229,-4.683663845062256,-0.05201278254389763
33,8,272,-0.011818801420940873,0.027040276676416397,-4.532110691070557,-0.0676666870713234
34,8,280,-0.01686695797552602,0.037615767866373065,-5.304133415222168,-0.06771273910999298
35,8,288,-0.020899604488477053,0.033757927268743514,-5.15077543258667,-0.05675030127167702
36,9,296,-0.014852281287312507,0.03858807161450386,-5.249738693237305,-0.05488455668091774
37,9,304,-0.019179395535729782,0.03576208725571632,-4.382678031921387,-0.05930591747164726
